year,cbsacode,Sample_Size,Data_value,Data_value_unit,Data_value_type,population,total_adult_obesity,total_adult_smoking,total_children_in_poverty,total_children_in_single-parent_households,total_excessive_drinking,total_homicides,total_mental_health_providers,total_motor_vehicle_crash_deaths,total_not_proficient_in_english,total_physical_inactivity,total_poor_or_fair_health,total_premature_death,total_primary_care_physicians,total_rural,total_sexually_transmitted_infections,total_uninsured_adults,total_violent_crime,total_poor_physical_health_days,total_poor_mental_health_days,depression_twitter19,depression_twitter10,CENSUS2019POP,CENSUS2010POP,Park_Area_Acres,Weighted_RESP,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n
2018,16620,213,24.93,%,Crude Prevalence,217916,61604.785,37813.77808,10910.776,17520.05354,22224.534,15.53843894,0.00313,33.08124013,453.1580998,51711.376,37667.78393,23632.54993,0.002617181,74343.73556,878.970291,11199.41489,1014.609424,11475.26284,11713.8903,,,,,1281.325352,0.321453418,,,,,,
2019,16620,245,28.95,%,Crude Prevalence,214406,61832.595,37250.17228,11419.603,17581.04776,21894.81354,16.289334,0.00332,31.4318376,618.5033229,46511.133,37105.36046,25482.6773,0.00256832,73126.01306,831.161621,9897.292402,1236.285732,11289.72988,11524.6465,,,,,1281.325352,0.321453418,,,,,,
2020,16620,290,27.71,%,Crude Prevalence,211037,63982.902,35967.89681,11280.147,16799.03918,20650.97887,17.03342221,0.00352,32.63061051,652.2665644,47981.862,37935.02156,26352.47409,0.002461097,71954.91723,717.601805,10963.38364,1217.03652,11610.87329,12754.75359,,,,,1281.325352,0.321453418,,,,,,
2021,16620,307,28.76,%,Crude Prevalence,208089,63617.748,43163.02632,9216.749001,12601.95635,24745.784,17.95609357,0.00365,32.69661549,613.9763274,44396.172,38086.35952,26740.23905,0.002516293,70841.87731,517.763191,11864.69637,1200.753796,12009.63034,13747.50575,,,,,1281.325352,0.321453418,,,,,,
2022,16620,232,26.01,%,Crude Prevalence,205649,65643.602,40714.311,8709.031002,11912.84896,25377.23982,20.03720029,0.0041,31.61960547,503.4813924,51280.717,39568.765,27967.53008,0.00246326,69876.34646,868.316287,11880.7915,1187.276876,12244.04744,14288.61984,,,,,1281.325352,0.321453418,,,,,,
2011,16700,258,15.34,%,Crude Prevalence,659191,148192.4626,105540.8996,29820.09894,57960.78686,99253.55816,0,0.00184074,137.941465,17674.846,123423.5206,65052.22579,55520.27196,0.007461919,142294.587,4233.251558,91127.04585,5080.613032,24568.26,24885.67556,,0.090909091,,664607,8568.514124,0.509772154,,,,,,
2012,16700,296,17.27,%,Crude Prevalence,659191,154883.8819,105543.8549,34407.90159,57407.45849,96424.08774,60.75329756,0.00184074,138.0019495,20367.99998,130589.7991,66755.42801,55229.51504,0.007461919,142294.587,4318.568826,95245.96967,4702.062048,25107.91889,25366.96222,,,,,8568.514124,0.509772154,,,,,,
2013,16700,294,18.67,%,Crude Prevalence,682121,161141.584,104802.478,36916.35601,58261.18416,100289.156,58.03583084,0.003616331,127.8187026,11951.52979,135832.416,71151.51,51267.99753,0.005515447,119508.6483,4061.034653,104991.098,4194.56554,26076.27667,26150.24778,,,,,8568.514124,0.509772154,,,,,,
2014,16700,269,19.89,%,Crude Prevalence,697439,166412.137,104334.187,37126.146,60465.07732,105192.075,59.33520834,0,130.814449,11040.68053,134027.926,72290.935,52426.73765,0.005718606,122443.9943,4564.596281,102592.3352,3709.945546,26375.86889,27223.87889,,,,,8568.514124,0.509772154,,,,,,
2015,16700,299,18.32,%,Crude Prevalence,712220,164013.568,106791.52,38170.392,61349.91635,107668.232,58.942984,0.01318,123.9126985,10552.95094,125672.636,73994.044,50759.96821,0.00587084,125067.9521,4099.747209,105809.9285,3309.024116,26936.18889,27801.73556,,,,,8568.514124,0.509772154,,,,,,
2016,16700,282,18.78,%,Crude Prevalence,727689,164945.74,105792.39,37056.169,61744.42608,111883.396,54.981952,0.01408,116.6274388,9801.165757,124421.384,85906.784,49395.19839,0.00617221,127771.721,4022.201634,105577.1226,3380.908712,28387.66889,31203.25889,,,,,8568.514124,0.509772154,,,,,,
2017,16700,312,22.46,%,Crude Prevalence,744526,168843.626,97623.59457,34386.776,62261.23781,110986.6229,58.804674,0.01498,111.0229463,9545.18536,123859.057,85996.47553,50774.04557,0.006277171,130776.5102,4275.155906,88020.41505,2887.971694,30391.43809,31652.68981,,,,,8568.514124,0.509772154,,,,,,
2018,16700,243,18.84,%,Crude Prevalence,761155,172825.552,96356.72378,31314.982,61677.50376,126723.6936,64.41425886,0.0161,113.3322593,9294.820362,131547.115,93660.02823,52680.51125,0.006273409,134163.3541,3981.042723,74508.60714,2949.813862,33046.41057,36703.34436,,,,,8568.514124,0.509772154,,,,,,
2019,16700,156,16.64,%,Crude Prevalence,775831,181446.128,98435.97198,30966.135,60665.40549,129384.9498,67.40404,0.01723,120.5055903,9675.693742,131754.793,95698.59909,56974.26761,0.006366349,137263.1699,4360.650426,70621.77656,3168.89231,33682.82011,37416.00823,,,,,8568.514124,0.509772154,,,,,,
2020,16700,131,22.66,%,Crude Prevalence,787643,184205.619,98868.40241,34971.01999,60669.49409,129529.3579,71.01740136,0.01862,122.2619464,10116.87906,138790.86,96328.86752,57849.73196,0.00621968,139478.9507,4574.984633,75088.22549,3217.920016,31716.06314,37600.76933,,,,,8568.514124,0.509772154,,,,,,
2021,16700,184,19.14,%,Crude Prevalence,802122,201946.874,97938.5944,25852.267,50364.25149,135303.5566,74.96367938,0.01956,125.2314699,12180.67588,139286.196,99633.08843,58395.13987,0.006367189,142472.2123,4994.07212,68279.42821,3274.369948,32988.28104,39790.85501,,,,,8568.514124,0.509772154,,,,,,
2022,16700,214,18.63,%,Crude Prevalence,819705,214534.073,110016.623,27845.019,51719.24654,169273.621,83.7818309,0.02102,134.2806863,12518.35272,166022.079,109890.657,62459.54371,0.006507204,146097.5487,5486.207389,75444.68628,3343.201912,35263.1226,40553.6563,,,,,8568.514124,0.509772154,,,,,,
2011,16740,333,16.7,%,Crude Prevalence,2230695,454450.3147,345022.9454,92172.07412,179146.7186,225023.4207,167.1315073,0.004374747,381.088543,119626.227,386219.7636,273980.0603,167303.135,0.018614682,582090.874,9134.28041,292182.3272,17788.62365,22273.96545,22839.38364,,0.133333333,,2243960,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2012,16740,416,14.64,%,Crude Prevalence,2230695,461098.7724,325414.287,120958.861,184106.9581,226786.6998,164.2506879,0.004374747,366.4275957,126204.8288,392476.1567,269758.4494,162825.0591,0.018614682,582090.874,10935.23853,301861.6425,14091.3027,22220.20727,23006.70788,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2013,16740,380,18.33,%,Crude Prevalence,2284449,475732.891,321615.926,130594.667,185911.0385,246689.649,156.7435605,0.004760416,327.9103305,73466.30599,404022.811,278280.204,158926.3254,0.015893812,435858.4915,9397.848135,336371.793,11840.99138,23307.39303,24015.61394,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2014,16740,412,18.28,%,Crude Prevalence,2322920,482460.324,309836.755,127069.585,191839.8984,249581.2184,159.5874803,0,332.4904635,75067.11655,410149.735,278229.5,161359.9933,0.01627909,439644.6991,13699.18464,331420.4365,10375.62717,22919.03515,26009.448,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2015,16740,351,17.36,%,Crude Prevalence,2361519,491027.505,315583.855,120040.033,196953.0388,254775.5333,148.088529,0.03857,304.3608525,74299.20207,408965.163,283485.894,156117.8327,0.016600386,444446.3642,11936.24376,340059.7651,10003.69886,23271.86818,26427.12367,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2016,16740,307,15.32,%,Crude Prevalence,2406079,496100.299,317019.855,122872.544,201988.6651,293275.928,145.060331,0.04207,296.3632452,74470.96033,416120.037,297183.17,159769.9866,0.017329637,450761.6542,11965.01876,336336.8564,10195.89852,25991.69879,26141.79,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2017,16740,258,18.75,%,Crude Prevalence,2452122,511090.19,303240.1599,114888.861,202494.311,315000.7679,133.311943,0.04506,276.5714129,74655.77765,406854.489,298403.2298,164326.9154,0.017499628,458175.8684,12393.19203,286855.8717,10073.39003,27281.02756,27203.94455,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2018,16740,229,16.04,%,Crude Prevalence,2499762,541230.434,312966.2404,107717.09,200966.192,349451.235,141.1221071,0.04861,288.7861516,76400.17806,429574.075,288277.1803,169079.3777,0.017715436,465860.4715,17122.94967,243550.3066,10273.76848,25816.68826,28139.58246,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2019,16740,255,20.57,%,Crude Prevalence,2550296,565690.131,320010.8958,102764.837,203856.698,357595.1286,146.815045,0.05263,302.8606784,76374.06201,422209.668,294766.1616,177768.9909,0.018125122,474072.7048,15065.28007,224901.0555,10675.53864,26333.70012,28706.56851,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2020,16740,222,20.17,%,Crude Prevalence,2594090,613017.487,298688.2597,100324.403,203680.8888,359571.5581,150.9050697,0.05759,315.3640297,76887.62993,450979.21,311607.0576,181201.1925,0.018459431,481947.4384,16330.22096,244495.4703,10850.99004,29036.15315,30916.07781,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2021,16740,316,19.53,%,Crude Prevalence,2636883,637470.05,355921.0519,82370.97401,158767.7132,369975.7007,157.6847127,0.06178,323.8172624,77031.33339,439599.335,338061.775,182103.4637,0.018867468,489937.7716,17717.94329,248513.4617,11017.64119,28063.26954,32326.682,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2022,16740,309,18.04,%,Crude Prevalence,2684276,659460.145,349789.505,90294.283,160903.7212,399445.2228,170.6954959,0.06735,337.0783794,76463.47653,513040.051,364761.677,192525.9316,0.019334102,498570.1671,18330.96018,258674.3978,11205.1067,29872.5298,34789.78152,,,,,34197.42238,0.378159463,156265.8851,133549.3694,40962.2541,9380.696313,1379.293949,20.26133461
2011,16860,118,22.96,%,Crude Prevalence,524303,120329.2134,91123.48047,24151.25901,39533.01495,38269.9388,22.49364445,0.00050519,90.821156,10171.688,120556.2075,78876.24872,45966.89813,0.005154758,129076.393,2202.984165,57482.62132,3856.129396,12010.90389,10051.94222,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2012,16860,133,22.39,%,Crude Prevalence,524303,124877.6293,84496.70605,29558.02444,40073.01429,38873.44277,35.1275775,0.00050519,92.62859656,11169.04154,118125.8897,78815.24516,46257.82455,0.005154758,129076.393,2142.718077,67011.06539,3259.702241,11658.21389,10011.21611,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2013,16860,109,19.11,%,Crude Prevalence,533372,127909.993,87947.87273,31959.345,40299.86652,45436.71562,29.22471257,0.001511094,87.78009422,6244.237324,121182.741,82234.153,45827.1171,0.004037397,126763.2354,1804.945055,73305.995,3058.928754,12282.80778,10591.96167,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2016,16860,114,24.84,%,Crude Prevalence,544559,128058.174,82393.066,27086.278,40637.18372,55339.203,32.9685226,0.00658828,76.99915235,6137.7624,130823.547,77697.343,45507.89078,0.004377672,128107.7228,2211.985528,68009.54493,2800.60255,12802.46611,13054.21222,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2019,16860,141,25.83,%,Crude Prevalence,556548,140801.709,85585.12842,22372.301,37681.55914,65338.39561,43.29648641,0.00793,66.99450637,6129.3922,112976.085,73398.6752,48512.26888,0.004684958,129689.0496,2568.405644,46034.73983,3145.601476,12824.33078,13283.87903,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2021,16860,124,25.7,%,Crude Prevalence,565194,144068.328,94464.41608,22432.415,31060.71627,75837.38736,44.39820583,0.00961,70.03927899,6637.077582,118382.738,87815.68744,48894.36145,0.004771874,131422.8001,2859.014521,52162.39257,3195.821922,14540.00629,16124.0094,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2022,16860,176,33.28,%,Crude Prevalence,569931,155596.746,92448.06,21726.926,31193.66146,83512.85344,47.44187755,0.01025,69.500465,5960.294885,131788.506,93087.972,51103.51235,0.004765457,132163.2825,3192.931793,52272.36384,3224.876129,14387.8778,16785.96341,,,,,21321.20782,0.370268056,2320.141962,2607.617555,700.0772305,69.93070157,18.08792079,1.340467164
2011,16940,218,18.16,%,Crude Prevalence,88854,16412.04463,15470.36994,2871.672426,7686.581832,11367.35878,0,0.000414948,18.126216,1421.664,15873.94481,8071.49736,6955.402266,0.000809982,14572.056,394.867176,8172.79092,175.04238,9477.76,8885.4,,,,,820.299127,0.141296636,,,,,,
2012,16940,176,17.43,%,Crude Prevalence,88854,17017.40693,14730.48268,3497.826564,7844.667174,10560.20905,3.27604698,0.000414948,16.37957819,1501.800054,15941.20729,8407.80975,6974.496991,0.000809982,14572.056,497.315838,11307.56004,176.3764253,9477.76,9181.58,,,,,820.299127,0.141296636,,,,,,
2011,16980,626,16.52,%,Crude Prevalence,37660740,7327285.191,5635743.083,1595421.36,2899913.922,5576584.733,5428.287664,0.193967977,3687.111092,4702535.18,6424626.848,4383725.141,2522590.676,0.427271539,1187444.772,180742.9619,4319008.906,211741.6922,78414.93923,76526.12744,,0.11627907,,9294679,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2012,16980,526,14.01,%,Crude Prevalence,37660740,7537944.049,5403408.076,1853920.91,2939499.961,5581241.658,3406.516354,0.193967977,3477.605563,4740165.411,6562002.886,4413730.629,2464265.696,0.427271539,1187444.772,183190.6887,4888385.462,201060.004,78448.04692,80123.68974,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2013,16980,552,15,%,Crude Prevalence,37349840,7546719.52,5135419.354,1971505.86,2882512.18,5709264.626,3160.655302,0.196785042,2944.915884,2436589.427,6569850.236,4362726.976,2415646.57,0.312855543,896479.4006,180799.1974,5089760.852,198730.1506,81625.10462,80929.97179,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2014,16980,638,15.82,%,Crude Prevalence,37417992,7696832.864,4991724.46,1890626.496,2868397.824,5880840.172,3166.204785,0,2949.541322,2413084.654,6325095.128,4278284.42,2419953.571,0.319361266,896642.1985,195652.2805,4913114.984,175652.6856,87252.30611,81089.41564,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2015,16980,590,14.69,%,Crude Prevalence,37478128,7516932.088,5024816.596,1838809.488,2835871.704,5921225.268,3002.222316,0.602480003,2556.257206,2367887.233,6127188.72,4306807.736,2292930.208,0.321037294,897504.4615,202348.4311,4834771.532,161073.8907,87384.46583,81214.43026,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2016,16980,583,14.4,%,Crude Prevalence,37546120,7543173.796,4420536.876,1773449.336,2819986.673,5842149.816,2936.621441,0.650400003,2417.068422,2327814.581,5982765.388,4432550.1,2256202.795,0.331365379,900862.5628,188735.3137,4795071.509,161280.9511,85097.84077,81262.32,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2017,16980,869,16.34,%,Crude Prevalence,37530376,7558570.032,4139741.143,1659329.568,2794742.752,6049034.841,2899.552203,0.708719989,2277.369,2284913.087,5816804.56,4615569.214,2245642.805,0.329002409,901177.0053,202829.04,3695921.551,151143.3267,85364.20518,84649.55682,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2018,16980,793,16.69,%,Crude Prevalence,37379264,7828002.288,4094936.009,1494041.332,2748348.171,6175143.48,3060.079646,0.773879995,2297.995848,2193596.254,6101496.92,4746110.384,2227560.172,0.326457261,901336.1778,212596.3007,2753618.889,150298.688,86310.34655,82666.69437,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2019,16980,809,16.8,%,Crude Prevalence,37458076,8118893.416,4120651.398,1392614.5,2727543.446,6213682.788,3190.698899,0.840919989,2363.898962,2141498.7,5928378.032,4775332.14,2352480.737,0.329720388,905409.8277,221405.5833,2440795.942,156866.2649,86489.55483,82836.06541,0.178294574,,9520784,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2020,16980,435,13.93,%,Crude Prevalence,37317704,8308345.228,4017177.065,1289938.012,2687287.178,6158069.447,3270.826319,0.924720008,2426.598425,2071283.312,6019671.876,4678364.112,2384880.303,0.323687538,905589.0495,232730.0727,2523189.535,156059.1071,83099.08843,89431.01894,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2021,16980,527,15.81,%,Crude Prevalence,37155912,8317678.716,4664247.976,1219944.64,2103360.152,6134199.026,3313.811726,0.983439993,2458.685961,1993035.27,5789164.732,4897194.616,2351954.239,0.324506467,906873.3593,235226.7466,2518636.976,155273.1352,88349.48037,96890.28345,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2022,16980,877,16.68,%,Crude Prevalence,36947868,8813461.088,4180476.988,1113029.408,2054293.632,6446341.857,3576.878514,1.071999987,2575.682462,1898375.372,7379055.052,5157536.396,2507835.879,0.324458027,905849.8084,243810.6074,2636694.9,154199.9892,83488.51191,95307.77909,,,,,264239.4571,0.204633377,171214.0314,126163.4997,32741.09509,5663.725468,930.8918587,84.78496327
2011,17140,341,15.96,%,Crude Prevalence,2171896,465708.3457,373821.9345,81592.03987,167736.353,302123.5347,117.709493,0.009530883,247.572202,39140.294,425810.4032,227379.5042,164919.1668,0.021842001,363723.576,10075.45352,202313.6617,0,18529.67881,19970.59357,,0.113636364,,2130151,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2012,17140,502,20.19,%,Crude Prevalence,2171896,477342.3962,366832.861,107671.3287,168974.587,304755.2298,148.582272,0.009530883,247.9917496,43877.90922,422082.7539,228721.4659,162079.825,0.021901588,363723.576,8928.937221,224416.3402,8456.307146,18545.70667,20057.81881,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2013,17140,544,20.14,%,Crude Prevalence,2138038,470010.203,354175.5952,108039.082,166551.9583,301375.6086,119.5215074,0.009945415,219.1228513,21335.82603,415172.94,227625.1761,160293.2772,0.016115565,311325.0419,9814.157403,228489.226,7500.536507,19576.14051,19543.91,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2014,17140,440,23.92,%,Crude Prevalence,2144210,471564.566,344450.239,112241.004,171300.4811,309259.9932,119.7451011,0,219.4731464,21006.76098,413892.409,233182.415,160694.108,0.016630579,311208.4963,10084.58694,216693.115,6953.946614,17241.87267,19144.13238,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2015,17140,339,19.97,%,Crude Prevalence,2153080,475649.112,346510.431,101783.969,172574.1435,311053.0906,112.8604915,0.02899,202.0360174,20828.49639,402273.281,234591.224,161820.9894,0.016519215,312085.0305,10294.1029,211995.2458,6594.931106,17309.99467,19223.3569,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2016,17140,343,19.91,%,Crude Prevalence,2165137,484487.046,318447.36,101654.78,174284.909,290650.552,110.3431655,0.03233,192.3011482,19640.20401,405656.541,252520.459,165929.9132,0.017159521,313390.8106,10303.14038,208151.8686,6625.260044,17804.02333,18809.95622,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2017,17140,375,24.45,%,Crude Prevalence,2173409,504107.743,302213.1044,93098.46301,176319.9515,307819.8089,109.5486417,0.03542,182.7365744,19811.73101,390409.023,247254.4953,168801.6742,0.017528015,313889.1542,10617.28276,150981.2135,6247.111111,17944.02995,18052.61426,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2018,17140,322,18.96,%,Crude Prevalence,2180642,516620.345,312586.2056,89598.83999,175206.1486,314861.3681,113.7418,0.04027,186.7419707,20028.48784,392393.062,257317.9591,175883.2721,0.017859021,314885.661,11302.49785,109641.9957,6262.423793,18304.62206,19438.72975,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2019,17140,336,19.17,%,Crude Prevalence,2194501,532381.062,315419.269,86827.354,171570.444,317756.9407,116.892492,0.047325684,190.478649,20387.48692,377669.801,259660.625,190336.3126,0.017872389,316202.2164,11509.567,92680.47507,6133.223156,18419.51151,19560.75869,0.305031447,,2202597,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2020,17140,368,21.83,%,Crude Prevalence,2205908,531660.039,316876.0883,81348.96901,173054.3859,339207.7619,117.4794072,0.053672191,191.0982296,20827.89485,403397.271,283275.6814,191728.6379,0.01800365,317659.4875,11264.12729,97323.91566,6158.143762,19615.22443,21380.95451,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2021,17140,351,22.29,%,Crude Prevalence,2214154,551262.601,345879.4453,78353.584,135117.9793,325256.0715,122.9801682,0.057031326,188.339139,22669.5298,413087.177,295827.3206,190310.174,0.018404966,318779.8561,11307.15699,103236.7638,6171.537706,20224.42412,22971.39346,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2022,17140,393,25,%,Crude Prevalence,2225788,583144.648,352626.959,66197.985,134237.5702,337354.059,129.4174707,0.062264824,199.0551149,23260.96633,470838.305,307897.597,189587.7713,0.018467094,320585.6156,11840.57294,111279.8992,6190.505658,20422.44083,24502.33428,,,,,56549.75605,0.267904588,63438.78943,40647.80911,11309.29579,2803.392216,718.1338988,18.71147645
2014,17780,100,14.11,%,Crude Prevalence,234501,53212.176,24390.92622,12441.225,18664.34676,23273.78456,6.68802198,0,38.9739895,11088.24055,42025.433,23459.97483,14717.15326,0.001522099,49681.23187,1157.338299,46731.99228,873.015314,25417.56667,18728.73333,,,,,32805.58177,0.258863149,1478.604369,1050.172996,201.2207565,59.82474437,6.266274892,1.110316553
2015,17780,96,23.87,%,Crude Prevalence,236819,52482.389,24620.08972,13891.979,18636.55131,23492.45203,7.341389,0.001665976,34.8138613,11486.51157,41000.914,23680.39164,13471.42719,0.001537794,49845.60557,1261.243404,43181.52361,863.9695643,25734.10667,18961.97333,,,,,32805.58177,0.258863149,1478.604369,1050.172996,201.2207565,59.82474437,6.266274892,1.110316553
2016,17780,59,13.43,%,Crude Prevalence,242905,51060.887,29679.206,12780.448,18673.36085,35547.23,8.026887934,0.001738063,33.04462462,11741.57484,44254.373,37388.932,13551.88625,0.001737763,50642.70379,1176.554438,43211.49182,887.336846,10375.03333,9332.958889,,,,,32805.58177,0.258863149,1478.604369,1050.172996,201.2207565,59.82474437,6.266274892,1.110316553
2017,17780,88,13.38,%,Crude Prevalence,249156,56382.336,26625.512,10788.201,18139.44377,40409.50421,7.723836,0.00172,31.44188755,12106.28324,39606.54,34190.71747,14554.3239,0.001900716,51628.75255,1606.718691,38978.08345,880.7564586,10264.49856,9744.964204,,,,,32805.58177,0.258863149,1478.604369,1050.172996,201.2207565,59.82474437,6.266274892,1.110316553
2018,17780,93,12.82,%,Crude Prevalence,254928,58444.084,30555.6615,12355.475,17968.16016,39888.89115,9.102073142,0.001926594,31.01110362,11708.95597,43869.077,33366.52272,15279.48641,0.001977427,52575.68892,1646.795269,35982.72667,901.2266821,10765.0669,10446.39496,,,,,32805.58177,0.258863149,1478.604369,1050.172996,201.2207565,59.82474437,6.266274892,1.110316553
2011,17820,288,20.73,%,Crude Prevalence,626227,90315.1143,91380.93111,23511.20513,43709.49706,75386.13399,27.185343,0.002631487,76.922772,25219.922,83086.38417,50011.34867,40957.40277,0.003430177,70073.845,2784.508471,78343.96966,0,32391.20333,31383.63333,,,,,2660735.546,0.127455439,,,,,,
2012,17820,210,17.74,%,Crude Prevalence,626227,98040.01892,91361.30666,29261.22895,44842.38781,72565.09179,28.36182083,0.002631487,72.9075264,24710.48086,83844.23061,51766.57406,39751.99858,0.003430177,70073.845,3132.427244,73971.03759,2974.741296,34225.635,34370.20167,,,,,2660735.546,0.127455439,,,,,,
2013,17820,290,21.08,%,Crude Prevalence,660319,103810.1,91782.107,30184.78,46882.18819,73126.89,27.742178,0.002599233,66.36510318,11694.82023,88799.244,58202.376,41798.15473,0.003744345,71530.10206,1803.856481,82510.24201,3097.730813,37262.37,37301.29667,,,,,2660735.546,0.127455439,,,,,,
2014,17820,247,19.09,%,Crude Prevalence,668353,106395.842,89965.394,30472.668,47004.07549,73873.417,28.07971282,0,67.16074054,11595.9401,86323.002,59288.08,42305.57284,0.003835712,72265.59669,3097.349183,79146.72684,2885.388406,38792.35,37834.355,,,,,2660735.546,0.127455439,,,,,,
2015,17820,283,22.49,%,Crude Prevalence,678319,109838.871,91375.51201,23525.55,47888.71138,75051.816,29.846036,0.01553,62.79335214,12109.40297,84935.997,60236.84,41937.82804,0.00386647,73094.80827,2871.246199,77889.4461,2741.653401,39374.65,38399.285,,,,,2660735.546,0.127455439,,,,,,
2016,17820,293,18.8,%,Crude Prevalence,686908,109803.766,79593.026,26260.132,49655.98548,85633.575,33.658492,0.01657,67.83362204,11611.9185,83799.018,57568.748,42680.90322,0.003999658,73923.36073,2706.684447,70905.40971,2776.815776,34306.41833,35451.265,,,,,2660735.546,0.127455439,,,,,,
2017,17820,213,19.45,%,Crude Prevalence,697856,116969.926,82352.29854,25587.618,49521.50452,94899.98193,33.497088,0.01751,73.08030588,11042.06066,81385.104,69777.78971,43879.42617,0.004083519,74899.34387,2612.71733,54789.56554,2611.714232,40448.37477,39833.07038,,,,,2660735.546,0.127455439,,,,,,
2018,17820,157,16.42,%,Crude Prevalence,712327,121101.606,73692.58524,25636.605,48386.87042,98763.60485,36.35028398,0.01891,74.97665511,11478.08342,87217.072,66369.25013,46651.92723,0.004266677,76545.37557,3020.367752,44410.06854,2665.569657,40419.17154,41213.14856,,,,,2660735.546,0.127455439,,,,,,
2019,17820,210,22.18,%,Crude Prevalence,723878,123690.704,75107.82344,23392.148,47700.35228,100663.6296,39.089412,0.02094,81.71192472,10921.81174,83809.948,67637.56586,52239.11351,0.004369681,77901.00674,3909.900176,39555.24925,2853.879429,41071.97521,41880.1558,,,,,2660735.546,0.127455439,,,,,,
2020,17820,237,20.92,%,Crude Prevalence,738939,125193.496,79846.81468,23244.323,48100.52008,93620.61947,42.87663234,0.02324,92.01565279,11235.8439,92040.572,70396.77165,54997.01355,0.004399759,79481.1413,3866.977869,43290.46071,2913.376669,38477.90538,46719.97648,,,,,2660735.546,0.127455439,,,,,,
